window_start_s,HR_ECG,HR_ECG_Corrected,HR_PulseOx
0,114,116,120
2,113,115,119
4,109,111,118
6,109,111,117
8,111,113,116
10,110,112,114
12,107,109,113
14,108,110,113
16,107,109,113
18,106,108,113
20,106,108,112
22,105,106,110
24,105,106,109
26,104,105,108
28,100,101,107
30,101,102,106
32,101,102,106
34,105,106,105
36,103,104,106
38,102,103,106
40,102,103,105
42,101,102,104
44,101,102,103
46,101,102,102
48,100,101,101
50,99,100,101
52,99,100,101
54,99,100,100
56,100,101,99
58,100,101,99
60,94,95,99